component_section_id	context_key	context_name	context_kind	is_root	is_recursive
sect_C.11.16	table_10.9.3-1	Content Creator Macro Attributes	table	N	N
sect_C.11.16	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.11.16	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.11.16	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.11.16	table_C.23.2-2	Screen Specifications Macro Attributes	table	N	N
sect_C.11.16	table_C.7-11b	Image Pixel Macro Attributes	table	N	N
sect_C.11.16	table_C.7-11c	Image Pixel Description Macro Attributes	table	N	N
sect_C.11.17	table_C.11.17-1	Structured Display Image Box Module Attributes	table	Y	N
sect_C.11.17	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.17	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.18	table_C.11.18-1	Structured Display Annotation Module Attributes	table	Y	N
sect_C.11.19	table_C.11.19-1	XA/XRF Presentation State Mask Module Attributes	table	Y	N
sect_C.11.19	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.2	table_C.11-2	VOI LUT Module Attributes	table	Y	N
sect_C.11.2	table_C.11-2b	VOI LUT Macro Attributes	table	N	N
sect_C.11.20	table_C.11.20-1	XA/XRF Presentation State Shutter Module Attributes	table	Y	N
sect_C.11.20	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.20	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.20	table_C.7-17a	Display Shutter Macro Attributes	table	N	N
sect_C.11.21	table_C.11.21-1	XA/XRF Presentation State Presentation Module Attributes	table	Y	N
sect_C.11.21	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.22	table_C.11.22-1	Volumetric Presentation State Identification Module Attributes	table	Y	N
sect_C.11.22	table_10-1	Person Identification Macro Attributes	table	N	N
sect_C.11.22	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.22	table_10-12	Content Identification Macro Attributes	table	N	N
sect_C.11.22	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.22	table_10.9.3-1	Content Creator Macro Attributes	table	N	N
sect_C.11.22	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.11.22	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.11.22	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.11.23	table_C.11.23-1	Volumetric Presentation State Relationship Module Attributes	table	Y	N
sect_C.11.23	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.23	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.23	table_C.11-2b	VOI LUT Macro Attributes	table	N	N
sect_C.11.24	table_C.11.24-1	Volume Cropping Module Attributes	table	Y	N
sect_C.11.24	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.24	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.25	table_C.11.25-1	Presentation View Description Module Attributes	table	Y	N
sect_C.11.25	table_10-6	General Anatomy Required Macro Attributes	table	N	N
sect_C.11.25	table_10-8	Primary Anatomic Structure Macro Attributes	table	N	N
sect_C.11.25	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.11.25	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.11.25	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.11.26	table_C.11.26-1	Multi-Planar Reconstruction Geometry Module Attributes	table	Y	N
sect_C.11.27	table_C.11.27-1	MPR Volumetric Presentation State Display Module Attributes	table	Y	N
sect_C.11.28	table_C.11.28-1	Volumetric Graphic Annotation Module Attributes	table	Y	N
sect_C.11.28	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.29	table_C.11.29-1	Presentation Animation Module Attributes	table	Y	N
sect_C.11.30	table_C.11.30-1	Volume Render Geometry Module Attributes	table	Y	N
sect_C.11.31	table_C.11.31-1	Render Shading Module Attributes	table	Y	N
sect_C.11.32	table_C.11.32-1	Render Display Module Attributes	table	Y	N
sect_C.11.33	table_C.11.33-1	Advanced Blending Presentation State Module Attributes	table	Y	N
sect_C.11.33	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.33	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.33	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.11.33	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.11.33	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.11.33	table_C.11-2b	VOI LUT Macro Attributes	table	N	N
sect_C.11.33	table_C.11.33.1-1	Threshold Sequence Macro Attributes	table	N	N
sect_C.11.33	table_C.17-3	Hierarchical SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.33	table_C.17-3a	Hierarchical Series Reference Macro Attributes	table	N	N
sect_C.11.33	table_C.7-22a	Palette Color Lookup Table Macro Attributes	table	N	N
sect_C.11.34	table_C.11.34.1-1	Advanced Blending Presentation State Display Module Attributes	table	Y	N
sect_C.11.35	table_C.11.35-1	Variable Modality LUT Module Attributes	table	Y	N
sect_C.11.35	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.35	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.35	table_C.11-1b	Modality LUT Macro Attributes	table	N	N
sect_C.11.4	table_C.11-4	Presentation LUT Module Attributes	table	Y	N
sect_C.11.5	table_C.11.5-1	Image Histogram Module Attributes	table	Y	N
sect_C.11.6	table_C.11.6-1	Softcopy Presentation LUT Module Attributes	table	Y	N
sect_C.11.7	table_C.11.7-1	Overlay Activation Module Attributes	table	Y	N
sect_C.11.8	table_C.11.8-1	Softcopy VOI LUT Module Attributes	table	Y	N
sect_C.11.8	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.8	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.8	table_C.11-2b	VOI LUT Macro Attributes	table	N	N
sect_C.11.9	table_C.11.9-1	Presentation Series Module Attributes	table	Y	N
sect_C.12.1	table_C.12-1	SOP Common Module Attributes	table	Y	N
sect_C.12.1	table_10-1	Person Identification Macro Attributes	table	N	N
sect_C.12.1	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.12.1	table_10-20	Selector Attribute Macro Attributes	table	N	N
sect_C.12.1	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.12.1	table_10.29-1	UDI Macro Attributes	table	N	N
sect_C.12.1	table_10.41-1	General Procedure Protocol Reference Macro Attributes	table	N	N
sect_C.12.1	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.12.1	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.12.1	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.12.1	table_C.12-6	Digital Signatures Macro Attributes	table	N	N
sect_C.12.1	table_C.12.1.1.9-1	Original Attributes Macro Attributes	table	N	N
sect_C.12.2	table_C.12-8	Common Instance Reference Module Attributes	table	Y	N
sect_C.12.2	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.12.2	table_10-4	Series and Instance Reference Macro Attributes	table	N	N
sect_C.12.3	table_C.12-9	Frame Extraction Module Attributes	table	Y	N
sect_C.12.4	table_C.12-10	General Reference Module Attributes	table	Y	N
sect_C.12.4	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.12.4	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.12.4	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.12.4	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.12.4	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.12.5	table_C.12.5-1	Timezone Module Attributes	table	Y	N
sect_C.13.1	table_C.13-1	Basic Film Session Presentation Module Attributes	table	Y	N
sect_C.13.13	table_C.13-13	Printer Configuration Module Attributes	table	Y	N
sect_C.13.2	table_C.13-2	Basic Film Session Relationship Module Attributes	table	Y	N
sect_C.13.2	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.13.2	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.13.2	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.13.2	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.13.3	table_C.13-3	Basic Film Box Presentation Module Attributes	table	Y	N
sect_C.13.4	table_C.13-4	Basic Film Box Relationship Module Attributes	table	Y	N
sect_C.13.4	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.13.5	table_C.13-5	Image Box Pixel Presentation Module Attributes	table	Y	N
sect_C.13.7	table_C.13-7	Basic Annotation Presentation Module Attributes	table	Y	N
sect_C.13.8	table_C.13-8	Print Job Module Attributes	table	Y	N
sect_C.13.9	table_C.13-9	Printer Module Attributes	table	Y	N
sect_C.14	table_C.14-1	Storage Commitment Module Attributes	table	Y	N
sect_C.14	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.17.1	table_C.17-1	SR Document Series Module Attributes	table	Y	N
sect_C.17.1	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.17.1	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.17.1	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.17.1	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.17.2	table_C.17-2	SR Document General Module Attributes	table	Y	N
sect_C.17.2	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.17.2	table_10-17	HL7v2 Hierarchic Designator Macro Attributes	table	N	N
sect_C.17.2	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.17.2	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.17.2	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.17.2	table_C.17-3	Hierarchical SOP Instance Reference Macro Attributes	table	N	N
sect_C.17.2	table_C.17-3a	Hierarchical Series Reference Macro Attributes	table	N	N
sect_C.17.2	table_C.17-3b	Identified Person or Device Macro Attributes	table	N	N
sect_C.17.2	table_C.17-3c	Referenced Request Macro Attributes	table	N	N
sect_C.17.3	table_C.17-4	SR Document Content Module Attributes	table	Y	N
sect_C.17.3	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.17.3	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.17.3	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.17.3	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.17.3	table_C.17-5	Document Content Macro Attributes	table	N	N
sect_C.17.3	table_C.17-6	Document Relationship Macro Attributes	table	N	Y
sect_C.17.3	table_C.18.1-1	Numeric Measurement Macro Attributes	table	N	N
sect_C.17.3	table_C.18.10-1	Table Content Item Macro Attributes	table	N	N
sect_C.17.3	table_C.18.2-1	Code Macro Attributes	table	N	N
sect_C.17.3	table_C.18.3-1	Composite Object Reference Macro Attributes	table	N	N
sect_C.17.3	table_C.18.4-1	Image Reference Macro Attributes	table	N	N
sect_C.17.3	table_C.18.5-1	Waveform Reference Macro Attributes	table	N	N
sect_C.17.3	table_C.18.6-1	Spatial Coordinates Macro Attributes	table	N	N
sect_C.17.3	table_C.18.7-1	Temporal Coordinates Macro Attributes	table	N	N
sect_C.17.3	table_C.18.8-1	Container Macro Attributes	table	N	N
sect_C.17.3	table_C.18.9-1	3D Spatial Coordinates Macro Attributes	table	N	N
sect_C.17.3	table_C.7-11b	Image Pixel Macro Attributes	table	N	N
sect_C.17.3	table_C.7-11c	Image Pixel Description Macro Attributes	table	N	N
sect_C.17.6.1	table_C.17.6-1	Key Object Document Series Module Attributes	table	Y	N
sect_C.17.6.1	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.17.6.1	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.17.6.1	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.17.6.1	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.17.6.2	table_C.17.6-2	Key Object Document Module Attributes	table	Y	N
sect_C.17.6.2	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.17.6.2	table_10-17	HL7v2 Hierarchic Designator Macro Attributes	table	N	N
sect_C.17.6.2	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.17.6.2	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.17.6.2	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.17.6.2	table_C.17-3	Hierarchical SOP Instance Reference Macro Attributes	table	N	N
sect_C.17.6.2	table_C.17-3a	Hierarchical Series Reference Macro Attributes	table	N	N
sect_C.17.6.2	table_C.17-3c	Referenced Request Macro Attributes	table	N	N
sect_C.19.1	table_C.19-1	Raw Data Module Attributes	table	Y	N
sect_C.19.1	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.19.1	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.19.1	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.19.1	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.19.1	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.2.3	table_C.2-3	Patient Demographic Module Attributes	table	Y	N
sect_C.2.3	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.2.3	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.2.3	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.2.4	table_C.2-4	Patient Medical Module Attributes	table	Y	N
sect_C.2.4	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.2.4	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.2.4	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.2.4	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.20.1	table_C.20.1-1	Spatial Registration Series Module Attributes	table	Y	N
sect_C.20.2	table_C.20.2-1	Spatial Registration Module Attributes	table	Y	N
sect_C.20.2	table_10-1	Person Identification Macro Attributes	table	N	N
sect_C.20.2	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.20.2	table_10-12	Content Identification Macro Attributes	table	N	N
sect_C.20.2	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.20.2	table_10.9.3-1	Content Creator Macro Attributes	table	N	N
sect_C.20.2	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.20.2	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.20.2	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.20.3	table_C.20.3-1	Deformable Spatial Registration Module Attributes	table	Y	N
sect_C.20.3	table_10-1	Person Identification Macro Attributes	table	N	N
sect_C.20.3	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.20.3	table_10-12	Content Identification Macro Attributes	table	N	N
sect_C.20.3	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.20.3	table_10.9.3-1	Content Creator Macro Attributes	table	N	N
sect_C.20.3	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.20.3	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.20.3	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.21.1	table_C.21.1-1	Spatial Fiducials Series Module Attributes	table	Y	N
sect_C.21.2	table_C.21.2-1	Spatial Fiducials Module Attributes	table	Y	N
sect_C.21.2	table_10-1	Person Identification Macro Attributes	table	N	N
sect_C.21.2	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.21.2	table_10-12	Content Identification Macro Attributes	table	N	N
sect_C.21.2	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.21.2	table_10.9.3-1	Content Creator Macro Attributes	table	N	N
sect_C.21.2	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.21.2	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.21.2	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.22.1	table_C.22.1-1	Media Creation Management Module Attributes	table	Y	N
sect_C.22.1	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.22.1	table_C.7-11b	Image Pixel Macro Attributes	table	N	N
sect_C.22.1	table_C.7-11c	Image Pixel Description Macro Attributes	table	N	N
sect_C.23.1	table_C.23.1-1	Hanging Protocol Definition Module Attributes	table	Y	N
sect_C.23.1	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.23.1	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.23.1	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.23.1	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.23.1	table_C.23.4-1	Hanging Protocol Selector Attribute Context Macro Attributes	table	N	N
sect_C.23.1	table_C.23.4-2	Hanging Protocol Selector Attribute Value Macro Attributes	table	N	N
sect_C.23.2	table_C.23.2-1	Hanging Protocol Environment Module Attributes	table	Y	N
sect_C.23.2	table_C.23.2-2	Screen Specifications Macro Attributes	table	N	N
sect_C.23.3	table_C.23.3-1	Hanging Protocol Display Module Attributes	table	Y	N
sect_C.23.3	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.23.3	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.23.3	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.23.3	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.23.3	table_C.23.4-1	Hanging Protocol Selector Attribute Context Macro Attributes	table	N	N
sect_C.23.3	table_C.23.4-2	Hanging Protocol Selector Attribute Value Macro Attributes	table	N	N
sect_C.24.1	table_C.24-1	Encapsulated Document Series Module Attributes	table	Y	N
sect_C.24.1	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.24.1	table_10-16	Performed Procedure Step Summary Macro Attributes	table	N	N
sect_C.24.1	table_10-17	HL7v2 Hierarchic Designator Macro Attributes	table	N	N
sect_C.24.1	table_10-2	Content Item Macro Attributes	table	N	N
sect_C.24.1	table_10-9	Request Attributes Macro Attributes	table	N	N
sect_C.24.1	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.24.1	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.24.1	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.24.2	table_C.24-2	Encapsulated Document Module Attributes	table	Y	N
sect_C.24.2	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.24.2	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.24.2	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.24.2	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.24.2	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.24.2	table_C.17-3	Hierarchical SOP Instance Reference Macro Attributes	table	N	N
sect_C.24.2	table_C.17-3a	Hierarchical Series Reference Macro Attributes	table	N	N
sect_C.24.2	table_C.17-5	Document Content Macro Attributes	table	N	N
sect_C.24.2	table_C.17-6	Document Relationship Macro Attributes	table	N	Y
sect_C.24.2	table_C.18.1-1	Numeric Measurement Macro Attributes	table	N	N
sect_C.24.2	table_C.18.10-1	Table Content Item Macro Attributes	table	N	N
sect_C.24.2	table_C.18.2-1	Code Macro Attributes	table	N	N
sect_C.24.2	table_C.18.3-1	Composite Object Reference Macro Attributes	table	N	N
sect_C.24.2	table_C.18.4-1	Image Reference Macro Attributes	table	N	N
sect_C.24.2	table_C.18.5-1	Waveform Reference Macro Attributes	table	N	N
sect_C.24.2	table_C.18.6-1	Spatial Coordinates Macro Attributes	table	N	N
sect_C.24.2	table_C.18.7-1	Temporal Coordinates Macro Attributes	table	N	N
sect_C.24.2	table_C.18.8-1	Container Macro Attributes	table	N	N
sect_C.24.2	table_C.18.9-1	3D Spatial Coordinates Macro Attributes	table	N	N
sect_C.24.2	table_C.7-11b	Image Pixel Macro Attributes	table	N	N
sect_C.24.2	table_C.7-11c	Image Pixel Description Macro Attributes	table	N	N
sect_C.25.1	table_C.25.1-1	Real World Value Mapping Series Module Attributes	table	Y	N
sect_C.25.2	table_C.25.2-1	Real World Value Mapping Module Attributes	table	Y	N
sect_C.25.2	table_10-1	Person Identification Macro Attributes	table	N	N
sect_C.25.2	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.25.2	table_10-12	Content Identification Macro Attributes	table	N	N
sect_C.25.2	table_10-2	Content Item Macro Attributes	table	N	N
sect_C.25.2	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.25.2	table_10.2.1-1	Content Item with Modifiers Macro Attributes	table	N	N
sect_C.25.2	table_10.9.3-1	Content Creator Macro Attributes	table	N	N
sect_C.25.2	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.25.2	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.25.2	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.25.2	table_C.7.6.16-12	Real World Value Mapping Macro Attributes	table	N	N
sect_C.25.2	table_C.7.6.16-12b	Real World Value Mapping Item Macro Attributes	table	N	N
sect_C.27.1	table_C.27-1	Surface Mesh Module Attributes	table	Y	N
sect_C.27.1	table_10-19	Algorithm Identification Macro Attributes	table	N	N
sect_C.27.1	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.27.1	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.27.1	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.27.1	table_C.27-2	Points Macro Attributes	table	N	N
sect_C.27.1	table_C.27-3	Vectors Macro Attributes	table	N	N
sect_C.27.1	table_C.27-4	Surface Mesh Primitives Macro Attributes	table	N	N
sect_C.27.5	table_C.27.5-1	Point Cloud Module Attributes	table	Y	N
sect_C.27.5	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.27.5	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.27.5	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.27.5	table_C.27-2	Points Macro Attributes	table	N	N
sect_C.27.6	table_C.27.6-1	UV Mapping Module Attributes	table	Y	N
sect_C.27.6	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.27.6	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.28.1	table_C.28.1-1	Color Palette Definition Module Attributes	table	Y	N
sect_C.28.1	table_10-1	Person Identification Macro Attributes	table	N	N
sect_C.28.1	table_10-12	Content Identification Macro Attributes	table	N	N
